ID;NOEUD;VOIE;PK;TYPE
13873;11881;5199;23922;Aval
13874;11882;5199;24524;Amont
13875;11883;5200;99594;Aval
13876;11884;5200;99998;Amont
13877;11885;5201;45951;Aval
13878;11886;5201;46628;Amont
13879;11887;5202;45680;Aval
13880;11888;5202;46570;Amont
13881;11889;5203;7659;Aval
13882;11890;5203;8326;Amont
13883;11891;5204;66118;Aval
13884;11892;5204;66954;Amont
13885;11893;5205;940;Aval
13886;11894;5205;989;Amont
13887;11895;5206;1235;Aval
13888;11896;5206;1282;Amont
13889;11897;670;4012;Aval
13890;11898;670;14900;Amont
13891;11899;671;3943;Aval
13892;11900;671;14900;Amont
13893;11901;5207;4642;Aval
13894;11902;5207;4690;Amont
13895;11903;5208;9076;Aval
13896;11904;5208;9120;Amont
13897;11905;5209;9710;Aval
13898;11906;5209;9740;Amont
13899;11907;672;13501;Aval
13900;11908;672;14736;Amont
13901;11909;673;117735;Aval
13902;11910;673;120495;Amont
13903;11911;674;122158;Aval
13904;11912;674;663143;Amont
13905;11913;675;118002;Aval
13906;11914;675;120437;Amont
13907;11915;676;122078;Aval
13908;11916;676;663143;Amont
13909;11917;5210;200761;Aval
13910;11918;5210;201380;Amont
13911;11919;5211;200870;Aval
13912;11920;5211;201398;Amont
13913;11921;5212;330654;Aval
13914;11922;5212;331842;Amont
13915;11923;5213;200815;Aval
13916;11924;5213;201498;Amont
13917;11925;5214;200845;Aval
13918;11926;5214;201450;Amont
13919;11927;5215;600184;Aval
13920;11928;5215;600413;Amont
13921;11929;5216;558785;Aval
13922;11930;5216;559676;Amont
13923;11931;5217;599438;Aval
13924;11932;5217;600351;Amont
13925;11933;5218;200586;Aval
13926;11934;5218;201568;Amont
13927;11935;5219;200835;Aval
13928;11936;5219;201438;Amont
13929;11937;5220;263860;Aval
13930;11938;5220;264560;Amont
13931;11939;5221;294290;Aval
13932;11940;5221;295327;Amont
13933;11941;5222;367358;Aval
13934;11942;5222;368610;Amont
13935;11943;5223;400865;Aval
13936;11944;5223;401125;Amont
13937;11945;5224;499592;Aval
13938;11946;5224;500265;Amont
13939;11947;5225;400780;Aval
13940;11948;5225;401560;Amont
13941;11949;5226;499632;Aval
13942;11950;5226;500222;Amont
13943;11951;5227;400760;Aval
13944;11952;5227;401505;Amont
13945;11953;5228;263905;Aval
13946;11954;5228;264555;Amont
13947;11955;5229;367394;Aval
13948;11956;5229;368442;Amont
13949;11957;5230;400710;Aval
13950;11958;5230;401612;Amont
13951;11959;5231;400820;Aval
13952;11960;5231;401544;Amont
13953;11961;5232;499581;Aval
13954;11962;5232;500256;Amont
13955;11963;5233;262121;Aval
13956;11964;5233;263167;Amont
13957;11965;5234;541354;Aval
