ID;NOM;TYPE;FREQUENCE;COMPENSATION;POINTS;PAS_REEL;ICC_MIN;N_FUITE_LONG_ARR;CALCUL_CONFORME;I_FUITE_MAX;DIAPHONIE_MAX
2191;z7303G;TVM430;1700;P_VARIABLE;4;51.66;800;320;1;160;320
2192;z7306A;TVM430;2000;P_VARIABLE;3;65.5;800;320;1;160;320
2193;z7306B;TVM430;2600;P_VARIABLE;3;78;800;320;1;160;320
2194;z7316A;TVM430;2600;P_VARIABLE;4;70.33;800;320;1;160;320
2195;z7316B;TVM430;2000;P_VARIABLE;11;59.1;800;320;1;160;320
2196;z7316C;TVM430;2600;P_VARIABLE;6;74;800;320;1;160;320
2197;z7317A;TVM430;1700;P_VARIABLE;3;59;800;320;1;160;320
2198;z7317C;TVM430;1700;P_VARIABLE;4;62.33;800;320;1;160;320
2199;z7317D;TVM430;2300;P_VARIABLE;3;84.5;800;320;1;160;320
2200;z7318A;TVM430;2000;P_VARIABLE;5;61.75;800;320;1;160;320
2201;z7318B;TVM430;2600;P_VARIABLE;3;84.5;800;320;1;160;320
2202;z7319C;TVM430;2300;P_VARIABLE;3;83.5;800;320;1;160;320
2203;z7319D;TVM430;1700;P_VARIABLE;3;85;800;320;1;160;320
2204;z7332A;TVM430;2600;P_VARIABLE;12;81.36;800;320;1;160;320
2205;z7338A;TVM430;2600;P_VARIABLE;12;80;800;320;1;160;320
2206;z7338B;TVM430;2000;P_VARIABLE;6;55.2;800;320;1;160;320
2207;z7402A;TVM430;2600;P_VARIABLE;6;76.4;800;320;1;160;320
2208;z7402B;TVM430;2000;P_VARIABLE;14;61;800;320;1;160;320
2209;z7325C;TVM430;1700;P_VARIABLE;1;46;800;320;1;160;320
2210;z7327A;TVM430;2300;P_VARIABLE;3;55.5;800;320;1;160;320
2211;z7727C;TVM430;1700;P_VARIABLE;4;60;800;320;1;160;320
2212;z7727F;TVM430;1700;P_VARIABLE;4;60;800;320;1;160;320
2213;z7732B;TVM430;2000;P_VARIABLE;4;60;800;320;1;160;320
2214;z7732E;TVM430;2000;P_VARIABLE;4;60;800;320;1;160;320
2215;z4927;TVM430;1700;P_VARIABLE;3;18.5;800;320;1;160;320
2216;z5134K;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2217;z7735C;TVM430;1700;P_VARIABLE;5;65.25;800;320;1;160;320
2218;z4214B;TVM430;2000;P_VARIABLE;3;70.5;800;320;1;160;320
2219;z2927B;TVM430;2300;P_VARIABLE;17;80;800;320;1;160;320
2220;z7403D;TVM430;2300;P_VARIABLE;4;70.66;800;320;1;160;320
2221;z7409A;TVM430;1700;P_VARIABLE;5;56.5;800;320;1;160;320
2222;z7409B;TVM430;2300;P_VARIABLE;15;81.28;800;320;1;160;320
2223;z7423A;TVM430;1700;P_VARIABLE;5;61.25;800;320;1;160;320
2224;z7423B;TVM430;2300;P_VARIABLE;4;87.33;800;320;1;160;320
2225;z7432B;TVM430;2600;P_VARIABLE;5;72.25;800;320;1;160;320
2226;z7614A;TVM430;2000;P_VARIABLE;6;54.6;800;320;1;160;320
2227;z7615A;TVM430;2300;P_VARIABLE;5;72;800;320;1;160;320
2228;z7703D;TVM430;1700;P_VARIABLE;3;71.5;800;320;1;160;320
2229;z7703E;TVM430;2300;P_VARIABLE;3;61;800;320;1;160;320
2230;z7724B;TVM430;2000;P_VARIABLE;5;64.25;800;320;1;160;320
2231;z2975C;TVM430;1700;P_VARIABLE;8;58.71;800;320;1;160;320
2232;z2992A;TVM430;2000;P_VARIABLE;9;63.5;800;320;1;160;320
2233;z4175D;TVM430;1700;P_VARIABLE;11;61.7;800;320;1;160;320
2234;z4192A;TVM430;2000;P_VARIABLE;11;61.7;800;320;1;160;320
2235;z4233;TVM430;2300;P_VARIABLE;16;81.21;800;320;1;160;320
2236;z4236;TVM430;2600;P_VARIABLE;16;78.6;800;320;1;160;320
2237;z4303D;TVM430;2300;P_VARIABLE;6;73;800;320;1;160;320
2238;z4332A;TVM430;2600;P_VARIABLE;7;80;800;320;1;160;320
2239;z4425C;TVM430;1700;P_VARIABLE;14;58.84;800;320;1;160;320
2240;z7752C;TVM430;2000;P_VARIABLE;10;60;800;320;1;160;320
2241;z4503A;TVM430;1700;P_VARIABLE;5;60;800;320;1;160;320
2242;z4903D;TVM430;2300;P_VARIABLE;3;80;800;320;1;160;320
2243;z4903F;TVM430;2300;P_VARIABLE;7;83.16;800;320;1;160;320
2244;z4914A;TVM430;2000;P_VARIABLE;7;62.33;800;320;1;160;320
2245;z4932C;TVM430;2000;P_VARIABLE;7;62.5;800;320;1;160;320
2246;z4932D;TVM430;2600;P_VARIABLE;3;80;800;320;1;160;320
2247;z4303A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2248;z4332D;TVM430;2000;P_VARIABLE;4;49.66667;800;320;1;160;320
2249;z2114A;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2250;z7752B;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2251;z7317B;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2252;z2132D;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2253;z4903C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2254;z5184D;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2255;z2303C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2256;z7735A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2257;z4603A;TVM430;1700;P_VARIABLE;4;53.33333;800;320;1;160;320
2258;z5134F;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2259;z1265A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2260;z7632C;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2261;z4503D;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2262;z1227B;TVM430;2300;P_VARIABLE;2;72;800;320;1;160;320
2263;z4215C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2264;z5123C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2265;z5163D;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2266;z1603A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2267;z7752F;TVM430;2600;P_VARIABLE;3;67;800;320;1;160;320
2268;z4925A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2269;z2103C;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2270;z1502A;TVM430;2600;P_VARIABLE;0;0;800;320;1;160;320
2271;z2725A;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
2272;z5134G;TVM430;2000;P_VARIABLE;4;51.33333;800;320;1;160;320
2273;z4192C;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2274;z5145C;TVM430;2300;P_VARIABLE;0;0;800;320;1;160;320
