ID;JOINT;CIRCUIT;PRINCIPAL;DB;EMETTEUR;DEMI_PAS
7093;3641;5206;True;True;True;29.5
7094;3484;5207;True;False;True;30
7095;3650;5207;True;True;True;30
7096;3650;5208;True;True;True;40
7097;3651;5208;True;False;True;40
7098;3651;5209;True;False;True;30
7099;3652;5209;True;False;True;30
7100;3652;5210;True;False;True;40
7101;3653;5210;True;False;True;40
7102;3653;5211;True;False;True;30
7103;3654;5211;True;False;True;30
7104;3654;5212;True;False;True;40
7105;3655;5212;True;False;True;40
7106;3655;5213;True;False;True;30
7107;3656;5213;False;False;True;60
7108;3657;5213;False;False;True;60
7109;3658;5213;True;False;True;30
7110;3658;5214;True;False;True;0
7111;3659;5214;True;False;True;0
7112;3659;5215;True;False;True;30
7113;3660;5215;True;False;True;30
7114;3660;5216;True;False;True;0
7115;3661;5216;True;False;True;0
7116;3661;5217;True;False;True;30
7117;3662;5217;False;False;True;60
7118;3663;5217;False;False;True;60
7119;3664;5217;True;False;True;30
7120;3664;5218;True;False;True;40
7121;3665;5218;True;False;True;40
7122;3665;5219;True;False;True;29
7123;3666;5219;True;False;True;29
7124;3666;5220;True;False;True;37
7125;3485;5220;True;True;True;37
7126;3657;5221;True;False;True;25.5
7127;3667;5221;True;False;True;25.5
7128;3667;5222;True;False;True;30
7129;3668;5222;True;False;True;30
7130;3668;5223;True;False;True;34.5
7131;3662;5223;True;False;True;34.5
7132;3518;5224;True;False;True;40
7133;3669;5224;True;True;True;40
7134;3669;5225;True;True;True;35.5
7135;3670;5225;True;True;True;35.5
7136;3670;5226;True;True;True;40
7137;3671;5226;True;False;True;40
7138;3671;5227;True;False;True;30
7139;3672;5227;False;False;True;60
7140;3673;5227;True;False;True;30
7141;3673;5228;True;False;True;0
7142;3674;5228;True;False;True;0
7143;3674;5229;True;False;True;30
7144;3675;5229;True;False;True;30
7145;3675;5230;True;False;True;39
7146;3676;5230;True;True;True;39
7147;3676;5231;True;True;True;30
7148;3677;5231;False;False;True;60
7149;3678;5231;True;True;True;30
7150;3678;5232;True;False;True;0
7151;3679;5232;True;False;True;0
7152;3679;5233;True;False;True;30
7153;3680;5233;True;False;True;30
7154;3680;5234;True;False;True;0
7155;3681;5234;True;False;True;0
7156;3681;5235;True;False;True;30
7157;3682;5235;False;False;True;60
7158;3683;5235;False;False;True;60
7159;3684;5235;False;False;True;60
7160;3685;5235;True;False;True;30
7161;3685;5236;True;False;True;39
7162;3686;5236;True;True;True;39
7163;3686;5237;True;True;True;27.5
7164;3519;5237;True;True;True;27.5
7165;3687;5238;False;False;True;35.5
7166;3677;5238;True;False;True;71
7167;3688;5238;True;False;True;35.5
7168;3688;5239;True;True;True;30
7169;3689;5239;True;True;True;30
7170;3689;5240;True;True;True;37.5
7171;3682;5240;True;False;True;37.5
7172;3684;5241;True;False;True;41
7173;3690;5241;True;False;True;41
7174;3559;5242;True;True;True;42.5
7175;3691;5242;True;True;True;42.5
7176;3691;5243;True;True;True;31.5
7177;3692;5243;True;True;True;31.5
7178;3692;5244;True;True;True;40
7179;3693;5244;True;False;True;40
7180;3693;5245;True;False;True;30
7181;3694;5245;False;False;True;60
7182;3695;5245;False;False;True;60
7183;3696;5245;True;False;True;30
7184;3696;5246;True;False;True;0
7185;3697;5246;True;False;True;0
7186;3697;5247;True;False;True;30
7187;3698;5247;True;False;True;30
7188;3698;5248;True;False;True;0
7189;3699;5248;True;False;True;0
7190;3699;5249;True;False;True;30
7191;3700;5249;False;False;True;60
7192;3701;5249;False;False;True;60
7193;3702;5249;True;False;True;30
7194;3702;5250;True;False;True;36
7195;3703;5250;True;False;True;36
7196;3703;5251;True;False;True;30
7197;3704;5251;True;True;True;30
7198;3704;5252;True;True;True;40
7199;3705;5252;True;True;True;40
7200;3705;5253;True;True;True;30
7201;3706;5253;True;True;True;30
7202;3706;5254;True;True;True;40
7203;3560;5254;True;True;True;40
7204;3695;5255;True;False;True;25.5
7205;3707;5255;False;False;True;51
7206;3708;5255;True;False;True;25.5
7207;3708;5256;True;False;True;30
7208;3709;5256;True;False;True;30
7209;3709;5257;True;False;True;34.5
7210;3700;5257;True;False;True;34.5
7211;3585;5258;True;True;True;40
7212;3710;5258;True;True;True;40
7213;3710;5259;True;True;True;30
7214;3711;5259;True;True;True;30
7215;3711;5260;True;True;True;40
7216;3712;5260;True;False;True;40
7217;3712;5261;True;False;True;30
7218;3713;5261;True;False;True;30
7219;3713;5262;True;False;True;40
7220;3714;5262;False;False;True;80
7221;3715;5262;False;False;True;80
7222;3716;5262;True;False;True;40
7223;3716;5263;True;False;True;0
7224;3717;5263;True;False;True;0
7225;3717;5264;True;False;True;40
7226;3718;5264;True;False;True;40
7227;3718;5265;True;False;True;0
7228;3719;5265;True;False;True;0
7229;3719;5266;True;False;True;40
7230;3720;5266;False;False;True;80
7231;3721;5266;False;False;True;80
7232;3722;5266;True;False;True;40
7233;3722;5267;True;False;True;0
